FENCE commit cycle=73
B cycle=94 addr=80000080 resp=0
INVALIDATE cycle=103 done=1
QUERY A cycle=104 maintenance=0 invalidate=0
COMMIT cycle=486 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=487 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=488 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=489 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=490 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=491 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=492 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=493 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=494 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=495 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=496 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=497 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=498 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=499 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=500 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=501 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=502 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=503 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=504 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=505 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=506 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=507 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=508 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=509 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=510 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=511 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=512 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=513 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=514 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=515 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=516 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=517 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=518 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=519 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=520 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=521 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=522 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=523 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=524 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=525 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=526 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=527 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=528 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=529 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=530 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=531 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=532 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=533 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=534 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=535 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=536 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=537 pc=800001c0 next=800001c0 trap=0
